record_id,platform,architecture,f1_bearer,observation_rank,dl_mbps
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,7,7.6
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,8,8.0
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,9,8.1
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,10,8.1
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,11,8.3
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,12,8.3
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,13,8.4
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,14,8.4
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,15,8.5
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,16,8.5
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,17,8.7
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,18,8.7
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,19,8.8
JETSON-GRE-FINAL,Jetson_Orin_Nano,split,Wi-Fi_GRE,20,8.8
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,1,65.6
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,2,65.9
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,3,66.6
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,4,66.8
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,5,67.2
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,6,67.5
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,7,67.9
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,8,68.0
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,9,68.2
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,10,68.3
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,11,68.7
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,12,68.8
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,13,69.2
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,14,69.3
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,15,69.6
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,16,69.6
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,17,70.1
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,18,70.2
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,19,70.6
JETSON-QWG-FINAL,Jetson_Orin_Nano,split,5G_WireGuard,20,70.6
